Time	ax	ay	az	gx	gy	gz
0.011	17.08846435546875	-8.13588134765625	3.4105078125	-12.2528076171875	2.6092529296875	2.02178955078125
0.019	17.042958984375	-8.1095361328125	3.3482373046875002	-12.22991943359375	2.777099609375	2.11334228515625
0.027	17.081279296875	-8.10235107421875	3.38416259765625	-12.26806640625	2.349853515625	1.983642578125
0.035	17.04535400390625	-8.19336181640625	3.3889526367187504	-12.20703125	2.471923828125	2.13623046875
0.045	17.062119140625	-8.08798095703125	3.47038330078125	-12.30621337890625	2.7313232421875	2.02178955078125
0.053	17.09325439453125	-8.1286962890625	3.3865576171875	-12.24517822265625	2.50244140625	2.0599365234375
0.061	17.06451416015625	-8.138276367187501	3.3817675781250003	-12.27569580078125	2.49481201171875	1.99127197265625
0.069	17.11720458984375	-8.16462158203125	3.3650024414062503	-12.14599609375	2.532958984375	2.14385986328125
0.077	17.026193847656252	-8.183781738281251	3.36021240234375	-12.4664306640625	2.73895263671875	2.05230712890625
0.086	17.07409423828125	-8.0999560546875	3.4584082031250003	-12.35198974609375	2.471923828125	2.03704833984375
0.094	17.069304199218752	-8.13588134765625	3.42966796875	-12.30621337890625	2.60162353515625	2.03704833984375
0.102	17.0381689453125	-8.1191162109375	3.43685302734375	-12.176513671875	2.61688232421875	1.88446044921875
0.111	17.081279296875	-8.190966796875001	3.38416259765625	-12.35198974609375	2.410888671875	2.01416015625
0.119	17.069304199218752	-8.1286962890625	3.420087890625	-12.3443603515625	2.31170654296875	2.0599365234375
0.128	17.1243896484375	-8.123906250000001	3.4727783203125	-12.33673095703125	2.62451171875	1.922607421875
0.136	17.06451416015625	-8.071215820312501	3.4344580078125	-12.18414306640625	2.4566650390625	2.1209716796875
0.144	17.129179687500002	-8.183781738281251	3.4512231445312502	-12.13836669921875	2.46429443359375	1.9073486328125
0.152	17.062119140625	-8.1574365234375	3.4512231445312502	-12.21466064453125	2.5177001953125	2.105712890625
0.161	17.10762451171875	-8.14306640625	3.3817675781250003	-12.21466064453125	2.4871826171875	2.08282470703125
0.169	17.100439453125002	-8.1670166015625	3.3985327148437503	-12.15362548828125	2.5482177734375	1.91497802734375
0.178	17.0525390625	-8.15025146484375	3.4488281250000004	-12.21466064453125	2.532958984375	1.9073486328125
0.186	17.069304199218752	-8.16941162109375	3.4488281250000004	-12.3443603515625	2.66265869140625	2.105712890625
0.194	17.114809570312502	-8.15504150390625	3.37937255859375	-12.1612548828125	2.6397705078125	1.953125
0.202	17.14833984375	-8.145461425781251	3.4344580078125	-12.27569580078125	2.55584716796875	1.8463134765625
0.211	17.10762451171875	-8.10235107421875	3.3650024414062503	-12.298583984375	2.471923828125	1.9989013671875
0.22	17.071699218750002	-8.14067138671875	3.4919384765625003	-12.26043701171875	2.43377685546875	2.044677734375
0.228	17.0573291015625	-8.13588134765625	3.4224829101562504	-12.1002197265625	2.3040771484375	1.91497802734375
0.236	17.02140380859375	-8.1861767578125	3.3889526367187504	-12.03155517578125	2.52532958984375	2.0904541015625
0.244	17.114809570312502	-8.07361083984375	3.36021240234375	-12.10784912109375	2.67791748046875	2.1209716796875
0.252	17.042958984375	-8.16941162109375	3.4584082031250003	-12.39776611328125	2.49481201171875	2.0294189453125
0.262	17.0477490234375	-8.0903759765625	3.4751733398437503	-12.054443359375	2.471923828125	1.94549560546875
0.27	17.05972412109375	-8.15025146484375	3.3218920898437503	-12.26043701171875	2.38037109375	1.983642578125
0.278	17.0573291015625	-8.145461425781251	3.400927734375	-12.39013671875	2.5787353515625	2.00653076171875
0.286	17.026193847656252	-8.1622265625	3.36021240234375	-12.2528076171875	2.5634765625	2.0751953125
0.294	17.03098388671875	-8.15983154296875	3.3458422851562504	-12.29095458984375	2.55584716796875	2.105712890625
0.303	17.100439453125002	-8.138276367187501	3.3482373046875002	-12.16888427734375	2.4261474609375	2.05230712890625
0.312	17.071699218750002	-8.1670166015625	3.4105078125	-12.298583984375	2.43377685546875	1.922607421875
0.32	16.9998486328125	-8.17420166015625	3.3889526367187504	-12.22991943359375	2.471923828125	1.77764892578125
0.328	16.9902685546875	-8.16462158203125	3.3889526367187504	-12.14599609375	2.5787353515625	1.96075439453125
0.336	17.10283447265625	-8.15983154296875	3.3865576171875	-12.2528076171875	2.72369384765625	2.05230712890625
0.345	17.0573291015625	-8.1670166015625	3.4320629882812503	-12.1917724609375	2.66265869140625	2.044677734375
0.353	17.08846435546875	-8.12151123046875	3.3865576171875	-12.2528076171875	2.593994140625	2.06756591796875
0.362	17.0525390625	-8.1574365234375	3.420087890625	-12.359619140625	2.51007080078125	2.0294189453125
0.37	17.0525390625	-8.12151123046875	3.42966796875	-12.04681396484375	2.410888671875	1.97601318359375
0.378	17.0477490234375	-8.1861767578125	3.36021240234375	-12.30621337890625	2.54058837890625	1.89971923828125
0.387	17.02140380859375	-8.18857177734375	3.400927734375	-12.359619140625	2.532958984375	1.96075439453125
0.395	17.01421875	-8.133486328125	3.4631982421875	-12.20703125	2.57110595703125	1.83868408203125
0.403	17.023798828125003	-8.138276367187501	3.420087890625	-12.1307373046875	2.44903564453125	2.0599365234375
0.412	17.01661376953125	-8.10474609375	3.400927734375	-12.18414306640625	2.4566650390625	2.01416015625
0.42	17.0190087890625	-8.1957568359375	3.343447265625	-12.176513671875	2.52532958984375	2.0294189453125
0.429	17.062119140625	-8.190966796875001	3.37937255859375	-11.98577880859375	2.46429443359375	2.044677734375
0.437	17.023798828125003	-8.21970703125	3.4727783203125	-12.24517822265625	2.66265869140625	2.2430419921875
0.445	17.09325439453125	-8.17899169921875	3.4224829101562504	-12.48931884765625	2.5482177734375	2.09808349609375
0.453	17.07888427734375	-8.1670166015625	3.43685302734375	-12.36724853515625	2.6092529296875	2.02178955078125
0.462	17.081279296875	-8.1286962890625	3.40332275390625	-12.2528076171875	2.471923828125	2.0904541015625
