Time	ax	ay	az	gx	gy	gz
0.014	-0.12693603515625002	-0.023950195312500002	9.83155517578125	-0.1068115234375	-0.30517578125	-0.12969970703125
0.023	-0.055085449218750006	-0.01916015625	9.781259765625	0.20599365234375	-0.35858154296875	0.0457763671875
0.031	-0.1580712890625	0.0	9.71419921875	-0.03814697265625	-0.457763671875	0.06866455078125
0.039	-0.0718505859375	0.0431103515625	9.7860498046875	0.1220703125	-0.2899169921875	-0.06103515625
0.049	-0.13412109375	-0.03113525390625	9.78365478515625	0.08392333984375	-0.1373291015625	-0.19073486328125
0.057	-0.07903564453125	-0.0143701171875	9.8052099609375	0.17547607421875	0.06103515625	-0.0152587890625
0.065	-0.06945556640625	-0.03592529296875	9.73096435546875	-0.030517578125	-0.02288818359375	-0.0762939453125
0.074	-0.1676513671875	-0.04071533203125	9.76449462890625	0.1068115234375	-0.1983642578125	-0.12969970703125
0.083	-0.1197509765625	-0.011975097656250001	9.75012451171875	-0.22125244140625	-0.34332275390625	0.0457763671875
0.093	-0.13412109375	-0.01916015625	9.69743408203125	-0.23651123046875	-0.5035400390625	-0.18310546875
0.102	-0.16046630859375	-0.011975097656250001	9.776469726562501	-0.1678466796875	-0.4730224609375	0.1678466796875
0.111	-0.10538085937500001	-0.047900390625000004	9.79083984375	-0.17547607421875	-0.43487548828125	-0.152587890625
0.12	-0.13651611328125002	-0.011975097656250001	9.78365478515625	-0.17547607421875	-0.396728515625	0.0
0.131	-0.15567626953125	-0.0622705078125	9.800419921875001	-0.06866455078125	-0.6256103515625	-0.18310546875
0.139	-0.1293310546875	-0.00718505859375	9.80281494140625	0.0152587890625	-0.5340576171875	0.14495849609375
0.148	-0.10059082031250001	-0.01676513671875	9.78844482421875	-0.02288818359375	-0.4119873046875	0.0152587890625
0.157	-0.09340576171875001	0.0383203125	9.77886474609375	-0.1373291015625	-0.51116943359375	0.00762939453125
0.165	-0.05987548828125	-0.028740234375	9.8483203125	-0.09918212890625	-0.37384033203125	0.030517578125
0.175	-0.10538085937500001	0.028740234375	9.70701416015625	-0.20599365234375	-0.6256103515625	-0.0152587890625
0.184	-0.03592529296875	0.047900390625000004	9.723779296875	0.09918212890625	-0.48065185546875	0.0457763671875
0.192	-0.11017089843750001	-0.0335302734375	9.7860498046875	-0.0762939453125	-0.1983642578125	0.1220703125
0.201	-0.086220703125	0.01916015625	9.836345214843751	0.06103515625	-0.26702880859375	0.0457763671875
0.21	-0.14609619140625002	-0.023950195312500002	9.85550537109375	-0.11444091796875	-0.3509521484375	-0.11444091796875
0.22	-0.10059082031250001	-0.050295410156250005	9.7381494140625	0.02288818359375	0.1678466796875	0.0762939453125
0.228	-0.11256591796875001	0.009580078125	9.84113525390625	0.0762939453125	0.54168701171875	-0.06866455078125
0.237	-0.11735595703125	-0.0143701171875	9.838740234375	-0.02288818359375	0.26702880859375	-0.1068115234375
0.245	-0.08861572265625	-0.01676513671875	9.75970458984375	0.030517578125	0.06103515625	-0.1373291015625
0.254	-0.08861572265625	-0.009580078125	9.86987548828125	-0.030517578125	0.274658203125	-0.00762939453125
0.264	-0.10538085937500001	-0.045505371093750004	9.82676513671875	-0.14495849609375	0.0762939453125	-0.0762939453125
0.273	-0.12693603515625002	0.028740234375	9.6998291015625	0.11444091796875	0.213623046875	0.06866455078125
0.281	-0.10298583984375001	-0.009580078125	9.853110351562501	-0.30517578125	0.0	-0.0762939453125
0.29	-0.09101074218750001	-0.028740234375	9.6327685546875	-0.0762939453125	-0.11444091796875	-0.213623046875
0.3	-0.124541015625	0.01676513671875	9.84113525390625	-0.11444091796875	0.58746337890625	-0.030517578125
0.309	-0.15088623046875002	0.0047900390625	9.704619140625	-0.06866455078125	0.3509521484375	-0.19073486328125
